title_count,title,dept_name
2931,Senior Staff,Customer Service
892,Staff,Customer Service
67,Senior Engineer,Customer Service
31,Engineer,Customer Service
11,Technique Leader,Customer Service
2,Assistant Engineer,Customer Service
12319,Senior Engineer,Development
4421,Engineer,Development
1683,Technique Leader,Development
515,Assistant Engineer,Development
290,Senior Staff,Development
100,Staff,Development
3166,Senior Staff,Finance
962,Staff,Finance
2872,Senior Staff,Human Resources
894,Staff,Human Resources
3583,Senior Staff,Marketing
1080,Staff,Marketing
10985,Senior Engineer,Production
3903,Engineer,Production
1561,Technique Leader,Production
459,Assistant Engineer,Production
336,Senior Staff,Production
83,Staff,Production
2463,Senior Engineer,Quality Management
896,Engineer,Quality Management
336,Technique Leader,Quality Management
110,Assistant Engineer,Quality Management
2890,Senior Staff,Research
893,Staff,Research
82,Senior Engineer,Research
34,Engineer,Research
12,Technique Leader,Research
4,Assistant Engineer,Research
1,Manager,Research
8858,Senior Staff,Sales
2732,Staff,Sales
1,Manager,Sales
